Season,Rk,Club,GF/MP,GA/MP,Pts/MP
2010-2011,15,Blackburn,1.210526316,1.552631579,1.13
2010-2011,16,Wigan,1.052631579,1.605263158,1.11
2010-2011,17,Wolves,1.210526316,1.736842105,1.05
2010-2011,18,Birmingham,0.973684211,1.526315789,1.03
2010-2011,19,Blackpool,1.447368421,2.052631579,1.03
2010-2011,20,West Ham,1.131578947,1.842105263,0.87
2009-2010,1,Chelsea,2.710526316,0.842105263,2.26
2009-2010,2,Man United,2.263157895,0.736842105,2.24
2009-2010,3,Arsenal,2.184210526,1.078947368,1.97
2009-2010,4,Tottenham,1.763157895,1.078947368,1.84
2009-2010,5,Man City,1.921052632,1.184210526,1.76
2009-2010,6,Aston Villa,1.368421053,1.026315789,1.68
2009-2010,7,Liverpool,1.605263158,0.921052632,1.66
2009-2010,8,Everton,1.578947368,1.289473684,1.61
2009-2010,9,Birmingham,1,1.236842105,1.32
2009-2010,10,Blackburn,1.078947368,1.447368421,1.32
2009-2010,11,Stoke,0.894736842,1.263157895,1.24
2009-2010,12,Fulham,1.026315789,1.210526316,1.21
2009-2010,13,Sunderland,1.263157895,1.473684211,1.16
2009-2010,14,Bolton,1.105263158,1.763157895,1.03
2009-2010,15,Wolves,0.842105263,1.473684211,1
2009-2010,16,Wigan,0.973684211,2.078947368,0.95
2009-2010,17,West Ham,1.236842105,1.736842105,0.92
2009-2010,18,Burnley,1.105263158,2.157894737,0.79
2009-2010,19,Hull,0.894736842,1.973684211,0.79
2009-2010,20,Portsmouth,0.894736842,1.736842105,0.5
2008-2009,1,Man United,1.789473684,0.631578947,2.37
2008-2009,2,Liverpool,2.026315789,0.710526316,2.26
2008-2009,3,Chelsea,1.789473684,0.631578947,2.18
2008-2009,4,Arsenal,1.789473684,0.973684211,1.89
2008-2009,5,Everton,1.447368421,0.973684211,1.66
2008-2009,6,Aston Villa,1.421052632,1.263157895,1.63
2008-2009,7,Fulham,1.026315789,0.894736842,1.39
2008-2009,8,Tottenham,1.184210526,1.184210526,1.34
2008-2009,9,West Ham,1.105263158,1.184210526,1.34
2008-2009,10,Man City,1.526315789,1.315789474,1.32
2008-2009,11,Wigan,0.894736842,1.184210526,1.18
2008-2009,12,Stoke,1,1.447368421,1.18
2008-2009,13,Bolton,1.078947368,1.394736842,1.08
2008-2009,14,Portsmouth,1,1.5,1.08
2008-2009,15,Blackburn,1.052631579,1.578947368,1.08
2008-2009,16,Sunderland,0.894736842,1.421052632,0.95
2008-2009,17,Hull,1.026315789,1.684210526,0.92
2008-2009,18,Newcastle,1.052631579,1.552631579,0.89
2008-2009,19,Middlesbrough,0.736842105,1.5,0.84
2008-2009,20,West Brom,0.947368421,1.763157895,0.84
2007-2008,1,Man United,2.105263158,0.578947368,2.29
2007-2008,2,Chelsea,1.710526316,0.684210526,2.24
2007-2008,3,Arsenal,1.947368421,0.815789474,2.18
2007-2008,4,Liverpool,1.763157895,0.736842105,2
2007-2008,5,Everton,1.447368421,0.868421053,1.71
2007-2008,6,Aston Villa,1.868421053,1.342105263,1.58
2007-2008,7,Blackburn,1.315789474,1.263157895,1.53
2007-2008,8,Portsmouth,1.263157895,1.052631579,1.5
2007-2008,9,Man City,1.184210526,1.394736842,1.45
2007-2008,10,West Ham,1.105263158,1.315789474,1.29
2007-2008,11,Tottenham,1.736842105,1.605263158,1.21
2007-2008,12,Newcastle,1.184210526,1.710526316,1.13
2007-2008,13,Middlesbrough,1.131578947,1.394736842,1.11
2007-2008,14,Wigan,0.894736842,1.342105263,1.05
2007-2008,15,Sunderland,0.947368421,1.552631579,1.03
2007-2008,16,Bolton,0.947368421,1.421052632,0.97
2007-2008,17,Fulham,1,1.578947368,0.95
2007-2008,18,Reading,1.078947368,1.736842105,0.95
2007-2008,19,Birmingham,1.210526316,1.631578947,0.92
2007-2008,20,Derby,0.526315789,2.342105263,0.29
2006-2007,1,Man United,2.184210526,0.710526316,2.34
2006-2007,2,Chelsea,1.684210526,0.631578947,2.18
2006-2007,3,Liverpool,1.5,0.710526316,1.79
2006-2007,4,Arsenal,1.657894737,0.921052632,1.79
2006-2007,5,Tottenham,1.5,1.421052632,1.58
2006-2007,6,Everton,1.368421053,0.947368421,1.53
2006-2007,7,Bolton,1.236842105,1.368421053,1.47
2006-2007,8,Reading,1.368421053,1.236842105,1.45
2006-2007,9,Portsmouth,1.184210526,1.105263158,1.42
2006-2007,10,Blackburn,1.368421053,1.421052632,1.37
2006-2007,11,Aston Villa,1.131578947,1.078947368,1.32
2006-2007,12,Middlesbrough,1.157894737,1.289473684,1.21
2006-2007,13,Newcastle,1,1.236842105,1.13
2006-2007,14,Man City,0.763157895,1.157894737,1.11
2006-2007,15,West Ham,0.921052632,1.552631579,1.08
2006-2007,16,Fulham,1,1.578947368,1.03
2006-2007,17,Wigan,0.973684211,1.552631579,1
2006-2007,18,Sheffield United,0.842105263,1.447368421,1
2006-2007,19,Charlton,0.894736842,1.578947368,0.89
2006-2007,20,Watford,0.763157895,1.552631579,0.74
2005-2006,1,Chelsea,1.894736842,0.578947368,2.39
